Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-18,ИМ,ПТМ,54823.6702312484,29330.6635737179,План,0
2022-11-18,ИМ,Salamander,95941.4229046847,57277.0294740968,План,0
2022-11-19,ИМ,Thomas Munz,582857.099234889,346799.974044759,План,0
2022-11-19,ИМ,ПТМ,52987.0090213536,28348.0498264242,План,0
2022-11-19,ИМ,Salamander,92727.2657873688,55358.1776750592,План,0
2022-11-20,ИМ,Thomas Munz,577051.345116197,343345.550344137,План,0
2022-11-20,ИМ,ПТМ,52459.2131923816,28065.6790579241,План,0
2022-11-20,ИМ,Salamander,91803.6230866677,54806.7629827406,План,0
2022-11-21,ИМ,Thomas Munz,696547.119629853,414445.536179763,План,0
2022-11-21,ИМ,ПТМ,63322.4654208957,33877.5190001792,План,0
2022-11-21,ИМ,Salamander,110814.314486568,66156.1457484808,План,0
2022-11-22,ИМ,Thomas Munz,700086.862260697,416551.683045115,План,0
2022-11-22,ИМ,ПТМ,63644.2602055179,34049.6792099521,План,0
2022-11-22,ИМ,Salamander,111377.455359656,66492.3408497148,План,0
2022-11-23,ИМ,Thomas Munz,682839.186272657,406289.315832231,План,0
2022-11-23,ИМ,ПТМ,62076.2896611507,33210.8149687156,План,0
2022-11-23,ИМ,Salamander,108633.506907014,64854.2036234872,План,0
2022-11-24,ИМ,Thomas Munz,659386.729583136,392335.104101966,План,0
2022-11-24,ИМ,ПТМ,59944.2481439215,32070.172756998,План,0
2022-11-24,ИМ,Salamander,104902.434251863,62626.753248362,План,0
2022-11-25,ИМ,Thomas Munz,634676.698133876,377632.635389656,План,0
2022-11-25,ИМ,ПТМ,57697.8816485342,30868.3666819658,План,0
2022-11-25,ИМ,Salamander,100971.292884935,60279.8618523061,План,0
2022-11-26,ИМ,Thomas Munz,613414.23855447,364981.47193991,План,0
2022-11-26,ИМ,ПТМ,55764.9307776791,29834.2379660583,План,0
2022-11-26,ИМ,Salamander,97588.6288609384,58260.4114299802,План,0
2022-11-27,ИМ,Thomas Munz,607304.109250689,361345.94500416,План,0
2022-11-27,ИМ,ПТМ,55209.4644773353,29537.0634953744,План,0
2022-11-27,ИМ,Salamander,96616.5628353368,57680.0880126961,План,0
2022-11-28,ИМ,Thomas Munz,733064.625215909,436173.452003466,План,0
2022-11-28,ИМ,ПТМ,66642.2386559917,35653.5976809555,План,0
2022-11-28,ИМ,Salamander,116623.917647985,69624.4788358473,План,0
2022-11-29,ИМ,Thomas Munz,860394.765212915,511934.885301685,План,0
2022-11-29,ИМ,ПТМ,78217.7059284468,41846.4726717191,План,0
2022-11-29,ИМ,Salamander,136880.985374782,81717.9482687448,План,0
2022-11-30,ИМ,Thomas Munz,839197.66677819,499322.611733023,План,0
2022-11-30,ИМ,ПТМ,76290.6969798355,40815.522884212,План,0
2022-11-30,ИМ,Salamander,133508.719714712,79704.7056696831,План,0
2022-11-01,Вайлдберриз,Salamander,109,904603.9,Прогноз,652202.59
2022-11-01,Вайлдберриз,Thomas Munz,663,2726762.35,Прогноз,1753160.01
2022-11-01,ИМ,Salamander,16,132065,Прогноз,88501.38
2022-11-01,ИМ,Thomas Munz,197,919864,Прогноз,564301.86
2022-11-01,ИМ,ПТМ,17,109611,Прогноз,60760.87
2022-11-01,Ламода,Salamander,91,707293,Прогноз,475384.36
2022-11-01,Ламода,Thomas Munz,591,2768631,Прогноз,1793415.57
2022-11-01,Ламода,ПТМ,56,373200,Прогноз,230035.12
2022-11-01,ОЗОН,Salamander,3,18924,Прогноз,12103.35
2022-11-01,ОЗОН,Thomas Munz,87,404495,Прогноз,256528.84
2022-11-02,Вайлдберриз,Salamander,72,609283.5,Прогноз,443942.48
2022-11-02,Вайлдберриз,Thomas Munz,660,2649050.85,Прогноз,1695225.7
2022-11-02,ИМ,Salamander,19,131420,Прогноз,88648.72
