Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-24,ИМ,ПТМ,59944.24814392146,32070.172756997985,План,0
2022-11-24,ИМ,Salamander,104902.43425186256,62626.75324836195,План,0
2022-11-25,ИМ,Thomas Munz,634676.6981338762,377632.63538965635,План,0
2022-11-25,ИМ,ПТМ,57697.8816485342,30868.3666819658,План,0
2022-11-25,ИМ,Salamander,100971.29288493485,60279.86185230611,План,0
2022-11-26,ИМ,Thomas Munz,613414.2385544701,364981.4719399097,План,0
2022-11-26,ИМ,ПТМ,55764.930777679096,29834.237966058317,План,0
2022-11-26,ИМ,Salamander,97588.62886093842,58260.41142998024,План,0
2022-11-27,ИМ,Thomas Munz,607304.1092506886,361345.9450041597,План,0
2022-11-27,ИМ,ПТМ,55209.46447733532,29537.063495374397,План,0
2022-11-27,ИМ,Salamander,96616.56283533682,57680.08801269608,План,0
2022-11-28,ИМ,Thomas Munz,733064.6252159085,436173.45200346556,План,0
2022-11-28,ИМ,ПТМ,66642.23865599168,35653.59768095555,План,0
2022-11-28,ИМ,Salamander,116623.91764798545,69624.47883584732,План,0
2022-11-29,ИМ,Thomas Munz,860394.7652129151,511934.8853016845,План,0
2022-11-29,ИМ,ПТМ,78217.70592844683,41846.47267171906,План,0
2022-11-29,ИМ,Salamander,136880.98537478194,81717.94826874483,План,0
2022-11-30,ИМ,Thomas Munz,839197.6667781902,499322.61173302314,План,0
2022-11-30,ИМ,ПТМ,76290.69697983547,40815.522884211976,План,0
2022-11-30,ИМ,Salamander,133508.71971471206,79704.7056696831,План,0
2022-11-01,Вайлдберриз,Salamander,109.0,904603.9,652202.59,Прогноз
2022-11-01,Вайлдберриз,Thomas Munz,663.0,2726762.35,1753160.01,Прогноз
2022-11-01,ИМ,Salamander,16.0,132065.0,88501.38,Прогноз
2022-11-01,ИМ,Thomas Munz,197.0,919864.0,564301.86,Прогноз
2022-11-01,ИМ,ПТМ,17.0,109611.0,60760.87,Прогноз
2022-11-01,Ламода,Salamander,91.0,707293.0,475384.36,Прогноз
2022-11-01,Ламода,Thomas Munz,591.0,2768631.0,1793415.5699999996,Прогноз
2022-11-01,Ламода,ПТМ,56.0,373200.0,230035.12,Прогноз
2022-11-01,ОЗОН,Salamander,3.0,18924.0,12103.35,Прогноз
2022-11-01,ОЗОН,Thomas Munz,87.0,404495.0,256528.84000000003,Прогноз
2022-11-02,Вайлдберриз,Salamander,72.0,609283.5,443942.48,Прогноз
2022-11-02,Вайлдберриз,Thomas Munz,660.0,2649050.85,1695225.7,Прогноз
2022-11-02,ИМ,Salamander,19.0,131420.0,88648.72,Прогноз
2022-11-02,ИМ,Thomas Munz,166.0,777570.0,469022.08,Прогноз
2022-11-02,ИМ,ПТМ,17.0,101278.0,54861.19,Прогноз
2022-11-02,Ламода,Salamander,179.0,1444510.0,1002238.82,Прогноз
2022-11-02,Ламода,Thomas Munz,1048.0,4915355.0,3181095.19,Прогноз
2022-11-02,Ламода,ПТМ,110.0,746420.0,455301.26,Прогноз
2022-11-02,ОЗОН,Salamander,4.0,17914.0,10637.81,Прогноз
2022-11-02,ОЗОН,Thomas Munz,103.0,457578.0,287322.07,Прогноз
2022-11-03,Вайлдберриз,Salamander,98.0,867477.9,631285.48,Прогноз
2022-11-03,Вайлдберриз,Thomas Munz,678.0,2825750.01,1813548.25,Прогноз
2022-11-03,ИМ,Salamander,11.0,83644.0,59928.15,Прогноз
2022-11-03,ИМ,Thomas Munz,155.0,767299.0,470982.17,Прогноз
2022-11-03,ИМ,ПТМ,8.0,52181.0,29720.11,Прогноз
2022-11-03,Ламода,Salamander,142.0,1157292.0,799925.36,Прогноз
2022-11-03,Ламода,Thomas Munz,774.0,3620046.0,2339837.7,Прогноз
2022-11-03,Ламода,ПТМ,92.0,619890.0,380598.93000000005,Прогноз
2022-11-03,ОЗОН,Salamander,8.0,44950.0,27292.42,Прогноз
2022-11-03,ОЗОН,Thomas Munz,97.0,453895.0,282848.3,Прогноз
2022-11-04,Вайлдберриз,Salamander,93.0,831777.3,612410.98,Прогноз
2022-11-04,Вайлдберриз,Thomas Munz,597.0,2487174.35,1598388.41,Прогноз
2022-11-04,ИМ,Salamander,6.0,37696.0,23230.76,Прогноз
2022-11-04,ИМ,Thomas Munz,146.0,706528.0,434887.88,Прогноз
2022-11-04,ИМ,ПТМ,12.0,62058.0,33016.21,Прогноз
2022-11-04,Ламода,Salamander,153.0,1268482.0,889904.01,Прогноз
2022-11-04,Ламода,Thomas Munz,886.0,4285914.0,2766930.01,Прогноз
2022-11-04,Ламода,ПТМ,103.0,706502.0,431901.4,Прогноз
2022-11-04,ОЗОН,Salamander,1.0,990.0,752.0,Прогноз
2022-11-04,ОЗОН,Thomas Munz,82.0,346643.0,221790.55,Прогноз
2022-11-05,Вайлдберриз,Salamander,89.0,810742.9,593596.18,Прогноз
2022-11-05,Вайлдберриз,Thomas Munz,546.0,2304952.17,1469329.82,Прогноз
2022-11-05,ИМ,Salamander,11.0,75042.0,51976.32,Прогноз
2022-11-05,ИМ,Thomas Munz,123.0,603604.0,374821.2,Прогноз
2022-11-05,ИМ,ПТМ,8.0,44027.0,22845.92,Прогноз
2022-11-05,Ламода,Salamander,141.0,1165994.0,797294.88,Прогноз
